time	V(vi)	V(vo)
7.981998615691709e-05	-1.000000e+00	-4.146731e-01
8.000000000099999e-05	-6.194071e-01	-4.200366e-01
8.029296875099999e-05	5.000000e-01	-4.206984e-01
8.058593750099998e-05	1.000000e+00	-4.126983e-01
8.992187503199439e-05	1.000000e+00	-3.971585e-02
8.999999999999999e-05	5.441747e-01	-3.709837e-02
9.009326738144456e-05	-5.073671e-01	-3.606139e-02
9.018382622633485e-05	-1.000000e+00	-3.785359e-02
9.028517456483083e-05	-1.000000e+00	-4.167897e-02
9.971385371588980e-05	-1.000000e+00	-4.184110e-01
1.000000000010000e-04	-5.058904e-01	-4.274695e-01
1.002929687510000e-04	5.000000e-01	-4.286767e-01
1.005859375010000e-04	1.000000e+00	-4.206765e-01
1.099218750319944e-04	1.000000e+00	-4.769410e-02
1.100000000000000e-04	5.692998e-01	-4.512150e-02
1.101032656352279e-04	-5.072032e-01	-4.409813e-02
1.102035981702656e-04	-1.000000e+00	-4.619711e-02
1.104523856252682e-04	-1.000000e+00	-5.598089e-02
1.197070312510000e-04	-1.000000e+00	-4.257172e-01
1.200000000010000e-04	-5.000000e-01	-4.350199e-01
1.202929687510000e-04	5.000000e-01	-4.362555e-01
1.205859375010000e-04	1.000000e+00	-4.282553e-01
1.299218750319940e-04	1.000000e+00	-5.527288e-02
1.300000000000000e-04	5.889549e-01	-5.273657e-02
1.301119392318516e-04	-5.066190e-01	-5.173389e-02
1.302209534804467e-04	-1.000000e+00	-5.410478e-02
1.307915419452986e-04	-1.000000e+00	-7.674992e-02
1.399125161255448e-04	-1.000000e+00	-4.411592e-01
1.400000000010000e-04	-6.666667e-01	-4.438010e-01
1.401749677519103e-04	3.739134e-01	-4.439605e-01
1.404679365019103e-04	1.000000e+00	-4.354803e-01
1.497070312500000e-04	1.000000e+00	-6.637425e-02
1.500000000000000e-04	4.269684e-01	-5.660220e-02
1.502182923557220e-04	-4.935115e-01	-5.518116e-02
1.504423247864648e-04	-1.000000e+00	-6.109518e-02
1.598757368739260e-04	-1.000000e+00	-4.379584e-01
1.600000000010000e-04	-6.666667e-01	-4.416067e-01
1.602485262551479e-04	4.589632e-01	-4.419152e-01
1.605414950051479e-04	1.000000e+00	-4.337541e-01
1.698329900102954e-04	1.000000e+00	-6.254937e-02
1.700000000000000e-04	5.098000e-01	-5.712012e-02
1.701736876229148e-04	-5.006397e-01	-5.595782e-02
1.703469313780173e-04	-1.000000e+00	-6.030061e-02
1.797070312510000e-04	-1.000000e+00	-4.342077e-01
1.800000000010000e-04	-5.000000e-01	-4.435105e-01
1.802929687510000e-04	5.000000e-01	-4.447460e-01
1.805859375010000e-04	1.000000e+00	-4.367458e-01
1.899218750319940e-04	1.000000e+00	-6.376337e-02
1.900000000000000e-04	6.075001e-01	-6.126225e-02
1.901209195707246e-04	-5.056858e-01	-6.028860e-02
1.902391199577537e-04	-1.000000e+00	-6.294664e-02
1.998453970873458e-04	-1.000000e+00	-4.466093e-01
2.000000000010000e-04	-6.545739e-01	-4.511265e-01
2.002929687510000e-04	5.000000e-01	-4.516194e-01
2.005859375010000e-04	1.000000e+00	-4.436192e-01
2.099218750319940e-04	1.000000e+00	-7.063681e-02
2.100000000000000e-04	6.204816e-01	-6.816083e-02
2.101277279151419e-04	-5.048027e-01	-6.721380e-02
2.102530254076563e-04	-1.000000e+00	-7.009337e-02
2.199648791017544e-04	-1.000000e+00	-4.579843e-01
2.200000000010000e-04	-6.666667e-01	-4.591427e-01
2.200702417994912e-04	3.333333e-01	-4.596223e-01
2.202107253964735e-04	1.000000e+00	-4.561025e-01
2.298915087661338e-04	1.000000e+00	-6.955286e-02
2.300000000000000e-04	5.921876e-01	-6.613131e-02
2.301575410172329e-04	-5.037571e-01	-6.515137e-02
2.303127321099751e-04	-1.000000e+00	-6.894299e-02
2.397070312509999e-04	-1.000000e+00	-4.441943e-01
2.400000000010000e-04	-5.000000e-01	-4.534971e-01
2.402929687510000e-04	5.000000e-01	-4.547326e-01
2.405859375010000e-04	1.000000e+00	-4.467324e-01
2.499218750320236e-04	1.000000e+00	-7.374994e-02
2.500000000000000e-04	6.258739e-01	-7.128455e-02
2.501306949264363e-04	-5.043783e-01	-7.035025e-02
2.502591208164887e-04	-1.000000e+00	-7.332740e-02
2.598411756055287e-04	-9.999853e-01	-4.560366e-01
2.600000000010000e-04	-6.484171e-01	-4.606929e-01
2.602929687510001e-04	5.000203e-01	-4.612148e-01
2.605859375010000e-04	1.000000e+00	-4.532145e-01
2.661523437510005e-04	1.000000e+00	-2.308355e-01
2.699218750320253e-04	1.000000e+00	-8.023207e-02
2.699999999999999e-04	6.362749e-01	-7.778729e-02
2.701366662597311e-04	-5.034615e-01	-7.688060e-02
2.702714532505233e-04	-1.000000e+00	-8.005603e-02
2.797189740341334e-04	-1.000000e+00	-4.573978e-01
2.800000000009999e-04	-5.104032e-01	-4.662734e-01
2.802929687510000e-04	5.000000e-01	-4.674590e-01
2.805859375010000e-04	1.000000e+00	-4.594588e-01
2.899218750320236e-04	1.000000e+00	-8.647635e-02
2.900000000000000e-04	1.000000e+00	-8.335505e-02
