time	V(vc)
4.151974177920028e-04	4.461286e+00
4.247974177920030e-04	4.477217e+00
4.343974177920032e-04	4.493146e+00
4.439974177920035e-04	4.509075e+00
4.535974177920037e-04	4.525003e+00
4.631974177920039e-04	4.540930e+00
4.727974177920042e-04	4.556855e+00
4.823974177920044e-04	4.572780e+00
4.919974177920046e-04	4.588704e+00
5.015974177920049e-04	4.604627e+00
5.111974177920051e-04	4.620548e+00
5.207974177920053e-04	4.636469e+00
5.219974177920052e-04	4.638459e+00
5.243974177920048e-04	4.642439e+00
5.291974177920049e-04	4.650398e+00
5.376266958820575e-04	4.664375e+00
5.472266958820578e-04	4.680293e+00
5.568266958820580e-04	4.696210e+00
5.664266958820582e-04	4.712126e+00
5.760266958820585e-04	4.728041e+00
5.856266958820587e-04	4.743954e+00
5.952266958820589e-04	4.759867e+00
6.048266958820592e-04	4.775779e+00
6.144266958820594e-04	4.791689e+00
6.240266958820596e-04	4.807599e+00
6.336266958820599e-04	4.823507e+00
6.432266958820601e-04	4.839415e+00
6.528266958820603e-04	4.855321e+00
6.624266958820606e-04	4.871227e+00
6.720266958820608e-04	4.887132e+00
6.816266958820610e-04	4.903035e+00
6.912266958820613e-04	4.918937e+00
7.008266958820615e-04	4.934838e+00
7.104266958820617e-04	4.950739e+00
7.200266958820620e-04	4.966639e+00
7.296266958820622e-04	4.982536e+00
7.392266958820624e-04	4.998434e+00
7.488266958820627e-04	5.014330e+00
7.680266958820631e-04	5.046120e+00
7.776266958820634e-04	5.062013e+00
7.872266958820636e-04	5.077905e+00
7.968266958820638e-04	5.093797e+00
8.064266958820641e-04	5.109687e+00
8.160266958820643e-04	5.125576e+00
8.256266958820645e-04	5.141464e+00
8.352266958820648e-04	5.157351e+00
8.448266958820650e-04	5.173237e+00
8.640266958820655e-04	5.205006e+00
8.736266958820657e-04	5.220889e+00
8.832266958820659e-04	5.236771e+00
8.928266958820662e-04	5.252652e+00
9.024266958820664e-04	5.268532e+00
9.120266958820666e-04	5.284410e+00
9.216266958820669e-04	5.300288e+00
9.312266958820671e-04	5.316165e+00
9.408266958820673e-04	5.332041e+00
9.504266958820676e-04	5.347916e+00
9.600266958820678e-04	5.363790e+00
9.696266958820680e-04	5.379663e+00
9.792266958820683e-04	5.395534e+00
9.888266958820685e-04	5.411405e+00
9.984266958820687e-04	5.427275e+00
1.008026695882069e-03	5.443143e+00
1.017626695882069e-03	5.459011e+00
1.027226695882069e-03	5.474877e+00
1.036826695882070e-03	5.490743e+00
1.046426695882070e-03	5.506608e+00
1.056026695882070e-03	5.522471e+00
1.065626695882070e-03	5.538334e+00
1.075226695882071e-03	5.554195e+00
1.084826695882071e-03	5.570055e+00
1.094426695882071e-03	5.585915e+00
1.104026695882071e-03	5.601773e+00
1.113626695882072e-03	5.617631e+00
1.123226695882072e-03	5.633487e+00
1.132826695882072e-03	5.649343e+00
1.142426695882072e-03	5.665196e+00
1.152026695882072e-03	5.681050e+00
1.161626695882073e-03	5.696902e+00
1.171226695882073e-03	5.712753e+00
1.180826695882073e-03	5.728603e+00
1.190426695882073e-03	5.744452e+00
1.200026695882074e-03	5.760301e+00
1.209626695882074e-03	5.776148e+00
