Freq.	V(n001)
1.76000000000000e+03	1.02586009112938e-05,-1.07306567763416e-05
1.77000000000000e+03	1.02032692356212e-05,-1.07630501296806e-05
1.78000000000000e+03	1.01558297353017e-05,-1.07762408824929e-05
1.79000000000000e+03	1.01076801182584e-05,-1.08087320911759e-05
1.80000000000000e+03	1.00483091737846e-05,-1.08469889758833e-05
1.81000000000000e+03	1.00198279053696e-05,-1.08744776517748e-05
1.82000000000000e+03	9.97880784894887e-06,-1.09078895207842e-05
1.83000000000000e+03	9.93875331956308e-06,-1.09551638201859e-05
1.84000000000000e+03	9.90080746261361e-06,-1.09884649692812e-05
1.85000000000000e+03	9.86917958140861e-06,-1.10300446904112e-05
1.86000000000000e+03	9.81756257558577e-06,-1.10635191302494e-05
1.87000000000000e+03	9.78249272845647e-06,-1.11056207916560e-05
1.88000000000000e+03	9.74805440578836e-06,-1.11427912076905e-05
1.89000000000000e+03	9.70788388530698e-06,-1.11898541458336e-05
1.90000000000000e+03	9.66956279529979e-06,-1.12320834039516e-05
1.91000000000000e+03	9.63469075760547e-06,-1.12790246377744e-05
1.92000000000000e+03	9.59449714351045e-06,-1.13206686888082e-05
1.93000000000000e+03	9.55240607733117e-06,-1.13623694732189e-05
1.94000000000000e+03	9.52043837692311e-06,-1.14104791971756e-05
1.95000000000000e+03	9.47993216571072e-06,-1.14538675459384e-05
1.96000000000000e+03	9.43991230585842e-06,-1.15002637229900e-05
1.97000000000000e+03	9.40026591919082e-06,-1.15421271190250e-05
1.98000000000000e+03	9.36040026645564e-06,-1.15863846295937e-05
1.99000000000000e+03	9.31778332778318e-06,-1.16301042835107e-05
2.00000000000000e+03	9.27772861829304e-06,-1.16742768610394e-05
2.01000000000000e+03	9.23520434443261e-06,-1.17173287054729e-05
2.02000000000000e+03	9.19669207664301e-06,-1.17633616940575e-05
2.03000000000000e+03	9.15420155187321e-06,-1.18068434831486e-05
2.04000000000000e+03	9.10914097793425e-06,-1.18539991260190e-05
2.05000000000000e+03	9.06877392782262e-06,-1.18940981321940e-05
2.06000000000000e+03	9.02502716437016e-06,-1.19370502641227e-05
2.07000000000000e+03	8.98323794205923e-06,-1.19843717951453e-05
2.08000000000000e+03	8.93766643494385e-06,-1.20259199721311e-05
2.09000000000000e+03	8.89283475453063e-06,-1.20681229885611e-05
2.10000000000000e+03	8.84506040361895e-06,-1.21129736587216e-05
2.11000000000000e+03	8.79805576441250e-06,-1.21553425794617e-05
2.12000000000000e+03	8.75201806255397e-06,-1.21943329361508e-05
2.13000000000000e+03	8.70040231587495e-06,-1.22388363229019e-05
2.14000000000000e+03	8.65060831273951e-06,-1.22778366009231e-05
2.15000000000000e+03	8.59132411888552e-06,-1.23291415016642e-05
2.16000000000000e+03	8.53994142374132e-06,-1.23627780832424e-05
2.17000000000000e+03	8.47966757881599e-06,-1.23997077933842e-05
2.18000000000000e+03	8.43282221715782e-06,-1.24353857477595e-05
2.19000000000000e+03	8.37163931241507e-06,-1.24690917376376e-05
2.20000000000000e+03	8.29598783020853e-06,-1.24889901462758e-05
2.21000000000000e+03	8.24610405395740e-06,-1.25285395600475e-05
2.22000000000000e+03	8.17870928618707e-06,-1.25532169346577e-05
2.23000000000000e+03	8.11935976701105e-06,-1.25718325488046e-05
2.24000000000000e+03	8.04315212987611e-06,-1.25867407972672e-05
2.25000000000000e+03	7.96062852662688e-06,-1.25962610061874e-05
2.26000000000000e+03	7.89812394061247e-06,-1.25863409773896e-05
2.27000000000000e+03	7.81130601860535e-06,-1.25699254173499e-05
2.28000000000000e+03	7.73987699425765e-06,-1.25096691210226e-05
2.29000000000000e+03	7.61945463991119e-06,-1.24618702367220e-05
2.30000000000000e+03	7.52868055240155e-06,-1.23459036978166e-05
2.31000000000000e+03	7.05271568548963e-06,-1.19161221899597e-05
2.32000000000000e+03	6.74831889150634e-06,-1.12121599429023e-05
2.33000000000000e+03	4.08974418250748e-06,-5.66765867141994e-06
2.34000000000000e+03	9.26627819810411e-06,-1.68439695275132e-05
2.35000000000000e+03	8.16353623296345e-06,-1.46333115462516e-05
2.36000000000000e+03	7.65238559931788e-06,-1.41686134480635e-05
2.37000000000000e+03	7.66951255896773e-06,-1.38518448426026e-05
2.38000000000000e+03	7.54797589878465e-06,-1.37089141005423e-05
2.39000000000000e+03	7.43284780730286e-06,-1.36896287515840e-05
2.40000000000000e+03	7.35417685587729e-06,-1.36046296380823e-05
2.41000000000000e+03	7.27043258821779e-06,-1.35632457093063e-05
2.42000000000000e+03	7.22016927342832e-06,-1.35301995872236e-05
2.43000000000000e+03	7.15276381519977e-06,-1.35083029344076e-05
2.44000000000000e+03	7.10583667611978e-06,-1.34903872627923e-05
2.45000000000000e+03	7.03525392267811e-06,-1.34769834761660e-05
2.46000000000000e+03	6.98131895008993e-06,-1.34634855916189e-05
2.47000000000000e+03	6.93164760751773e-06,-1.34703897354681e-05
2.48000000000000e+03	6.88222595142164e-06,-1.34562240834525e-05
2.49000000000000e+03	6.83445706256167e-06,-1.34482557157584e-05
2.50000000000000e+03	6.79232538009849e-06,-1.34490629176141e-05
