time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
1.078116872078410e-07	5.865170e+00	4.264937e+00	7.691602e-04	1.450195e+01	1.598120e-01
1.081582916123143e-07	5.865170e+00	4.264937e+00	7.698247e-04	1.450655e+01	1.596726e-01
1.083955563517761e-07	5.865170e+00	4.264937e+00	7.702779e-04	1.450966e+01	1.595779e-01
1.086644858221787e-07	5.865170e+00	4.264937e+00	7.707913e-04	1.451315e+01	1.594711e-01
1.089199551239774e-07	5.865170e+00	4.264937e+00	7.712789e-04	1.451644e+01	1.593700e-01
1.091591514516351e-07	5.865170e+00	4.264937e+00	7.717353e-04	1.451949e+01	1.592758e-01
1.094071644639647e-07	5.865170e+00	4.264937e+00	7.722084e-04	1.452263e+01	1.591785e-01
1.096481180847564e-07	5.865170e+00	4.264937e+00	7.726682e-04	1.452565e+01	1.590844e-01
1.098921602963566e-07	5.865170e+00	4.264937e+00	7.731338e-04	1.452869e+01	1.589895e-01
1.101404898586749e-07	5.865170e+00	4.264937e+00	7.736076e-04	1.453176e+01	1.588933e-01
1.103953616284048e-07	5.865170e+00	4.264937e+00	7.740940e-04	1.453488e+01	1.587950e-01
1.106606919162642e-07	5.865170e+00	4.264937e+00	7.746003e-04	1.453811e+01	1.586931e-01
1.107752166753417e-07	5.865170e+00	4.264937e+00	7.748188e-04	1.453949e+01	1.586492e-01
1.108423166133986e-07	5.865170e+00	4.264937e+00	7.749469e-04	1.454030e+01	1.586235e-01
1.108887446830894e-07	5.865170e+00	4.264937e+00	7.750355e-04	1.454085e+01	1.586058e-01
1.109201833402189e-07	5.865170e+00	4.264937e+00	7.750955e-04	1.454123e+01	1.585938e-01
1.109491767171145e-07	5.865170e+00	4.264937e+00	7.751508e-04	1.454158e+01	1.585827e-01
1.109790638527139e-07	5.865170e+00	4.264937e+00	7.752079e-04	1.454193e+01	1.585713e-01
1.110090277138524e-07	5.865170e+00	4.264937e+00	7.752650e-04	1.454229e+01	1.585599e-01
1.110457999232179e-07	5.865170e+00	4.264937e+00	7.753352e-04	1.454273e+01	1.585459e-01
