time	V(n001)	V(n003)
1.378776188784543e-03	5.151048e+00	1.205975e+01
1.379217910075066e-03	5.168716e+00	1.107335e+01
1.379681994711041e-03	5.187280e+00	9.395622e+00
1.380544376869207e-03	5.221775e+00	4.858004e+00
1.381497086128280e-03	5.259883e+00	-1.577485e+00
1.382382310403687e-03	5.295292e+00	-8.158052e+00
1.382879596409666e-03	5.315184e+00	-1.148590e+01
1.383183586665877e-03	5.327343e+00	-1.288598e+01
1.383291113424546e-03	5.331645e+00	-1.307672e+01
1.383358813657875e-03	5.334352e+00	-1.309016e+01
1.383440710558709e-03	5.337628e+00	-1.309853e+01
1.383553446582998e-03	5.342138e+00	-1.310518e+01
1.383814401921444e-03	5.352576e+00	-1.311175e+01
1.499000000100002e-03	9.960000e+00	-1.311523e+01
1.500000000100002e-03	1.000000e+01	-1.311609e+01
1.500000000110002e-03	1.000000e+01	-1.311609e+01
1.500000000194859e-03	1.000000e+01	-1.311609e+01
1.500000000279717e-03	1.000000e+01	-1.311609e+01
1.500000000364574e-03	1.000000e+01	-1.311609e+01
1.500000000449431e-03	1.000000e+01	-1.311609e+01
1.500000000534288e-03	1.000000e+01	-1.311609e+01
1.500000000619145e-03	1.000000e+01	-1.311609e+01
1.500000000704003e-03	1.000000e+01	-1.311609e+01
1.500000150427560e-03	9.999994e+00	-1.311600e+01
1.500000300151118e-03	9.999988e+00	-1.311592e+01
1.500000449874676e-03	9.999982e+00	-1.311584e+01
1.500000599598234e-03	9.999976e+00	-1.311578e+01
1.500000749321792e-03	9.999970e+00	-1.311572e+01
1.500000899045350e-03	9.999964e+00	-1.311567e+01
1.500001048768907e-03	9.999958e+00	-1.311564e+01
1.500002097345813e-03	9.999916e+00	-1.311544e+01
1.500004194499623e-03	9.999832e+00	-1.311528e+01
1.500008388807245e-03	9.999664e+00	-1.311522e+01
1.500016777422487e-03	9.999329e+00	-1.311522e+01
1.874073742943003e-03	-4.962950e+00	-1.311521e+01
1.877073742943003e-03	-5.082950e+00	-1.310354e+01
1.878073742943003e-03	-5.122950e+00	-1.307068e+01
1.878727604370688e-03	-5.149104e+00	-1.298330e+01
1.879106670353347e-03	-5.164267e+00	-1.274957e+01
1.879382607254841e-03	-5.175304e+00	-1.229252e+01
1.879647824321419e-03	-5.185913e+00	-1.149359e+01
1.880090909937220e-03	-5.203636e+00	-9.492368e+00
1.880693623964888e-03	-5.227745e+00	-5.735349e+00
1.881404167003442e-03	-5.256166e+00	1.332508e-02
1.882404167003442e-03	-5.296167e+00	9.135110e+00
1.882796141546797e-03	-5.311846e+00	1.249460e+01
1.882810137193065e-03	-5.312406e+00	1.257296e+01
1.882838128485599e-03	-5.313525e+00	1.263634e+01
1.882886644554214e-03	-5.315466e+00	1.267163e+01
1.882930069831047e-03	-5.317203e+00	1.267579e+01
1.882977080973302e-03	-5.319083e+00	1.267545e+01
1.917337239541659e-03	-6.693490e+00	1.267545e+01
1.999000000200002e-03	-9.960000e+00	1.267545e+01
2.000000000200002e-03	-1.000000e+01	1.267545e+01
2.000100000200002e-03	-9.996000e+00	1.267545e+01
2.000300000200002e-03	-9.988000e+00	1.267545e+01
2.053185714485724e-03	-7.872571e+00	1.267545e+01
