v1	V(n003)
1.026000000000010e+001	-1.311215e+001
1.023000000000010e+001	-1.311215e+001
1.020000000000010e+001	-1.311215e+001
1.017000000000010e+001	-1.311215e+001
1.014000000000010e+001	-1.311215e+001
1.011000000000010e+001	-1.311215e+001
1.008000000000011e+001	-1.311215e+001
1.005000000000011e+001	-1.311215e+001
1.002000000000011e+001	-1.311215e+001
9.990000000000107e+000	-1.311215e+001
9.960000000000107e+000	-1.311215e+001
9.930000000000108e+000	-1.311215e+001
9.900000000000109e+000	-1.311215e+001
9.870000000000109e+000	-1.311215e+001
9.840000000000110e+000	-1.311215e+001
9.810000000000111e+000	-1.311215e+001
9.780000000000111e+000	-1.311215e+001
9.750000000000112e+000	-1.311215e+001
9.720000000000113e+000	-1.311215e+001
9.690000000000113e+000	-1.311215e+001
9.660000000000114e+000	-1.311215e+001
9.630000000000115e+000	-1.311215e+001
9.600000000000115e+000	-1.311215e+001
9.570000000000116e+000	-1.311215e+001
9.540000000000116e+000	-1.311215e+001
9.510000000000117e+000	-1.311215e+001
9.480000000000118e+000	-1.311215e+001
9.450000000000118e+000	-1.311215e+001
9.420000000000119e+000	-1.311215e+001
9.390000000000120e+000	-1.311215e+001
9.360000000000120e+000	-1.311215e+001
9.330000000000121e+000	-1.311215e+001
9.300000000000122e+000	-1.311215e+001
9.270000000000122e+000	-1.311215e+001
9.240000000000123e+000	-1.311215e+001
9.210000000000123e+000	-1.311215e+001
9.180000000000124e+000	-1.311215e+001
9.150000000000125e+000	-1.311215e+001
9.120000000000125e+000	-1.311215e+001
9.090000000000126e+000	-1.311215e+001
9.060000000000127e+000	-1.311215e+001
9.030000000000127e+000	-1.311215e+001
9.000000000000128e+000	-1.311215e+001
8.970000000000129e+000	-1.311215e+001
8.940000000000129e+000	-1.311215e+001
8.910000000000130e+000	-1.311215e+001
8.880000000000131e+000	-1.311215e+001
8.850000000000131e+000	-1.311215e+001
8.820000000000132e+000	-1.311215e+001
8.790000000000132e+000	-1.311215e+001
8.760000000000133e+000	-1.311215e+001
8.730000000000134e+000	-1.311215e+001
8.700000000000134e+000	-1.311215e+001
8.670000000000135e+000	-1.311215e+001
8.640000000000136e+000	-1.311215e+001
8.610000000000136e+000	-1.311215e+001
8.580000000000137e+000	-1.311215e+001
8.550000000000138e+000	-1.311215e+001
8.520000000000138e+000	-1.311215e+001
8.490000000000139e+000	-1.311215e+001
8.460000000000139e+000	-1.311215e+001
8.430000000000140e+000	-1.311215e+001
8.400000000000141e+000	-1.311215e+001
8.370000000000141e+000	-1.311215e+001
8.340000000000142e+000	-1.311215e+001
8.310000000000143e+000	-1.311215e+001
8.280000000000143e+000	-1.311215e+001
8.250000000000144e+000	-1.311215e+001
8.220000000000145e+000	-1.311215e+001
8.190000000000145e+000	-1.311215e+001
8.160000000000146e+000	-1.311215e+001
8.130000000000146e+000	-1.311215e+001
8.100000000000147e+000	-1.311215e+001
8.070000000000148e+000	-1.311215e+001
8.040000000000148e+000	-1.311215e+001
8.010000000000149e+000	-1.311215e+001
7.980000000000149e+000	-1.311215e+001
7.950000000000149e+000	-1.311215e+001
7.920000000000148e+000	-1.311215e+001
7.890000000000148e+000	-1.311215e+001
7.860000000000148e+000	-1.311215e+001
7.830000000000148e+000	-1.311215e+001
7.800000000000147e+000	-1.311215e+001
7.770000000000147e+000	-1.311215e+001
7.740000000000147e+000	-1.311215e+001
7.710000000000147e+000	-1.311215e+001
7.680000000000146e+000	-1.311215e+001
7.650000000000146e+000	-1.311215e+001
7.620000000000146e+000	-1.311215e+001
7.590000000000146e+000	-1.311215e+001
7.560000000000145e+000	-1.311215e+001
7.530000000000145e+000	-1.311215e+001
7.500000000000145e+000	-1.311215e+001
7.470000000000145e+000	-1.311215e+001
7.440000000000144e+000	-1.311215e+001
7.410000000000144e+000	-1.311215e+001
7.380000000000144e+000	-1.311215e+001
7.350000000000144e+000	-1.311215e+001
7.320000000000143e+000	-1.311215e+001
7.290000000000143e+000	-1.311215e+001
7.260000000000143e+000	-1.311215e+001
